ParticipantID,Part,PairNumber,PairVariance,FilterType,FilterPhase,EasyToHit,Concentration,Control,Effort,Timestamp
P08,Part B,2,28.388424494608405,oneEuro,0,3,3,4,3,1778804084817
P08,Part B,2,28.388424494608405,exponential,1,4,3,4,3,1778804309096
