ParticipantID,Part,PairNumber,PairVariance,FilterType,FilterPhase,EasyToHit,Concentration,Control,Effort,Timestamp
P08,Part A,1,5.113399233710242,oneEuro,0,3,4,3,4,1778802190870
P08,Part A,1,5.113399233710242,exponential,1,2,5,4,4,1778802594012
P08,Part A,3,51.66344975550657,oneEuro,0,2,4,2,4,1778802884213
P08,Part A,3,51.66344975550657,exponential,1,3,5,2,4,1778803246880
P08,Part A,2,28.388424494608405,oneEuro,0,3,5,3,5,1778803513080
P08,Part A,2,28.388424494608405,exponential,1,2,4,3,5,1778803833444
