filterType,params,variance,latency,rawThresh,filtThresh,peakRaw,peakFilt
oneeuro,mc=0.02 β=0.05 dc=0.5,1.8115,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.05 dc=1,1.9330,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.00001 dc=0.5,0.7672,90.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.00001 dc=1,0.7698,76.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.0001 dc=0.5,0.9716,9.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.0001 dc=1,0.9867,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.0005 dc=0.5,1.4321,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.0005 dc=1,1.4336,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.001 dc=0.5,1.6422,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.001 dc=1,1.6067,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.003 dc=0.5,1.7649,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.003 dc=1,1.6670,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.005 dc=0.5,1.7346,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.005 dc=1,1.6317,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.01 dc=0.5,1.6814,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.01 dc=1,1.6230,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.05 dc=0.5,1.8108,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.05 dc=1,1.9343,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.00001 dc=0.5,1.1616,64.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.00001 dc=1,1.1627,53.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.0001 dc=0.5,1.2664,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.0001 dc=1,1.2731,0.00,0.00,0.00,315.12,315.12
