dwell_ms,pairNumber,pairVariance,filterType,tp,mean_mt,ae,we,ide,n_success,n_total,error_rate
200,1,3.2225200000000003,exponential,0.846661361453715,3.891693749996523,571.3067361535843,64.81282495302787,3.29494672873297,48,48,0.0
200,1,3.2225200000000003,oneEuro,1.1597138921713286,2.85926250000298,569.3762945106681,63.557200012776434,3.3159264426179798,48,48,0.0
200,2,17.512900000000002,exponential,1.6594026458902433,2.0678229166741176,570.2421746770714,58.25952423976654,3.4313508191615107,48,48,0.0
200,2,17.512900000000002,oneEuro,1.700719913519792,2.159320833325386,571.1442511388519,48.608950044731365,3.6723999409146355,48,48,0.0
200,3,31.80328,exponential,1.9744170260397187,1.82174791666617,567.8569905797516,51.160028430254755,3.596890103818073,48,48,0.0
200,3,31.80328,oneEuro,1.6724951340541043,1.9495749999955294,569.3487818009118,66.32537005634076,3.2606547009660534,48,48,0.0
400,1,3.2225200000000003,exponential,0.8573933321512501,4.103887499993046,576.6717549031765,55.12651094970033,3.5186457783929015,48,48,0.0
400,1,3.2225200000000003,oneEuro,1.111902772298112,3.0102604166592157,570.6458754873894,62.18808610770056,3.347116902622652,48,48,0.0
400,2,17.512900000000002,exponential,1.4085769536578192,2.28562916666766,569.0447315128907,68.43971060067454,3.2194845687761924,48,48,0.0
400,2,17.512900000000002,oneEuro,1.4297884494882402,2.3815166666631895,577.2793633038119,60.17596243679814,3.405065022258764,48,48,0.0
400,3,31.80328,exponential,1.734838547536028,2.0113770833363134,567.3908981738689,55.458009244772974,3.489414497802422,48,48,0.0
400,3,31.80328,oneEuro,1.4240572314285178,2.2741041666691504,570.3566632133062,67.59521978784399,3.238454483566927,48,48,0.0
600,1,3.2225200000000003,exponential,0.8342810952492149,4.38257708332936,581.1880829646458,50.066622059377124,3.6563012090941283,48,48,0.0
600,1,3.2225200000000003,oneEuro,1.039735521964565,3.349820833330353,573.6404980052793,56.34634716766492,3.4829277126305085,48,48,0.0
600,2,17.512900000000002,exponential,1.303271957316671,2.573487499999503,569.2048484812808,61.70597082797035,3.3539540912543386,48,48,0.0
600,2,17.512900000000002,oneEuro,1.3671439245871713,2.5430958333214124,575.8703964841499,56.83085958078591,3.4767780181683183,48,48,0.0
600,3,31.80328,exponential,1.6586742278934312,2.14012083333234,566.6666373238672,52.90627701800968,3.549763270826166,48,48,0.0
600,3,31.80328,oneEuro,1.4117500167097894,2.3907124999935427,570.1055653048976,60.80897554083981,3.375088411814186,48,48,0.0
800,1,3.2225200000000003,exponential,0.7818458001273283,4.5346875,581.1362700162853,54.43586956070496,3.5454263767648944,48,48,0.0
800,1,3.2225200000000003,oneEuro,1.0656897589160037,3.4815104166616995,574.1205453079947,47.493753832380186,3.710209996595762,48,48,0.0
800,2,17.512900000000002,exponential,1.2820946674918634,2.7053104166661703,569.2548095749376,56.534909785231655,3.468464059117888,48,48,0.0
800,2,17.512900000000002,oneEuro,1.2260859915464744,2.814524999988576,574.6098210481331,57.838318218572034,3.450849675343334,48,48,0.0
800,3,31.80328,exponential,1.5514492591858606,2.352931250003477,565.0548427981158,48.891630920361536,3.6504534447331554,48,48,0.0
800,3,31.80328,oneEuro,1.4040748028475853,2.4777458333273725,568.7621502335577,56.03701587890608,3.4789404924355565,48,48,0.0
1000,1,3.2225200000000003,exponential,0.7253752553252355,4.7399395833313465,581.1479402106991,59.06236420319601,3.4382348854851656,48,48,0.0
1000,1,3.2225200000000003,oneEuro,1.0318543032101095,3.6735145833368104,574.2264841365331,44.72971559534427,3.7905318307211804,48,48,0.0
1000,2,17.512900000000002,exponential,1.3144674977554007,2.7699249999945366,568.6510637437449,49.55533184254765,3.640976383712947,48,48,0.0
1000,2,17.512900000000002,oneEuro,1.251608404183011,2.8639333333248893,573.1532217261594,52.12215647600954,3.5845230290092958,48,48,0.0
1000,3,31.80328,exponential,1.5383313056788426,2.4472416666671633,563.6817475384061,44.76565114569549,3.764668468395764,48,48,0.0
