GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
23,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,6,104.08500000000001,192.75,135,6,6.1995,337.01,731.50,192.75,602.38,504.04,595.21,329.04,384720.60,387579.60,393779.10
24,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,7,104.08500000000001,192.75,315,7,6.3483,364.25,595.21,521.79,843.73,255.50,731.50,385.50,394284.90,395345.50,401693.80
25,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,0,104.08500000000001,254.43,0,0,12.1759,232.32,731.50,385.50,961.36,419.22,985.93,385.50,448646.30,450846.20,463022.10
26,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,1,104.08500000000001,254.43,180,1,14.1930,485.59,985.93,385.50,501.34,416.60,731.50,385.50,463526.60,464211.80,478404.80
27,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,2,104.08500000000001,254.43,45,2,8.8395,448.74,477.07,385.50,893.86,551.80,656.98,565.41,478913.50,480333.20,489172.70
28,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,3,104.08500000000001,254.43,225,3,12.1993,478.88,911.41,565.41,571.46,228.13,731.50,385.50,489680.80,491102.20,503301.50
29,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,4,104.08500000000001,254.43,90,4,7.0662,458.23,551.59,205.59,732.93,626.41,551.59,460.02,503808.50,504495.50,511561.70
30,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,5,104.08500000000001,254.43,270,5,10.9335,479.72,731.50,639.93,725.58,160.25,731.50,385.50,512063.70,513212.90,524146.40
31,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,6,104.08500000000001,254.43,135,6,7.6284,489.49,731.50,131.07,571.33,593.62,551.59,310.98,524655.80,526017.50,533645.90
32,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,7,104.08500000000001,254.43,315,7,13.9888,468.63,551.59,565.41,885.59,236.70,731.50,385.50,534150.50,535712.20,549701.00
33,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,0,131.07000000000002,192.75,0,0,1.7059,172.84,731.50,385.50,902.18,412.74,924.25,385.50,580629.50,583716.20,585422.10
34,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,1,131.07000000000002,192.75,180,1,5.5939,368.18,924.25,385.50,558.42,426.97,731.50,385.50,585927.30,586485.70,592079.60
35,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,2,131.07000000000002,192.75,45,2,6.5069,323.77,538.75,385.50,828.11,530.75,675.04,521.79,592583.80,594484.20,600991.10
36,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,3,131.07000000000002,192.75,225,3,7.3967,343.21,867.79,521.79,630.04,274.28,731.50,385.50,601494.90,602366.90,609763.60
37,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,4,131.07000000000002,192.75,90,4,5.6236,335.75,595.21,249.21,729.57,556.90,595.21,441.96,610267.30,611214.00,616837.60
38,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,5,131.07000000000002,192.75,270,5,6.2629,344.34,731.50,578.25,730.27,233.91,731.50,385.50,617345.10,618638.20,624901.10
39,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,6,131.07000000000002,192.75,135,6,6.5942,321.28,731.50,192.75,626.51,496.39,595.21,329.04,625408.20,626735.30,633329.50
40,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,7,131.07000000000002,192.75,315,7,7.7797,343.11,595.21,521.79,832.24,273.72,731.50,385.50,633840.30,635933.10,643712.80
41,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,0,131.07000000000002,254.43,0,0,2.9016,230.97,731.50,385.50,960.70,414.05,985.93,385.50,653213.00,656345.50,659247.10
42,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,1,131.07000000000002,254.43,180,1,7.0327,484.11,985.93,385.50,502.34,408.07,731.50,385.50,659751.30,660679.20,667711.90
43,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,2,131.07000000000002,254.43,45,2,8.9674,432.14,477.07,385.50,874.80,554.47,656.98,565.41,668215.30,669211.50,678178.90
44,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,3,131.07000000000002,254.43,225,3,9.6026,476.97,911.41,565.41,548.72,255.64,731.50,385.50,678688.50,680562.40,690165.00
45,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,4,131.07000000000002,254.43,90,4,9.1326,448.10,551.59,205.59,709.10,625.10,551.59,460.02,690672.00,691330.40,700463.00
46,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,5,131.07000000000002,254.43,270,5,9.5383,464.87,731.50,639.93,705.02,175.82,731.50,385.50,700966.10,702131.80,711670.10
