ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P10,Part A,oneEuro,Med → High → Low,completed,12,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,3,49.379999999999995,366.23499999999996,225,3,3.4747,1.4648,1.4648,3.4747,724.53,724.53,1014.97,670.47,508.01,152.84,486.52,131.28,508.01,152.84,497.03,152.53,0,1520.3,306476.00,306490.70,306490.70,307955.50,307955.50,307955.50,309965.40
P10,Part A,oneEuro,Med → High → Low,completed,13,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,4,49.379999999999995,366.23499999999996,90,4,3.9081,1.9077,1.9077,3.9081,669.54,669.54,497.03,152.53,773.92,762.14,740.92,796.62,773.92,762.14,756.00,777.73,1,931.1,310470.30,310483.00,310483.00,312390.70,311899.80,312390.70,314391.10
P10,Part A,oneEuro,Med → High → Low,completed,14,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,5,49.379999999999995,366.23499999999996,270,5,4.3671,2.3656,2.3990,4.4005,728.16,728.16,756.00,777.73,755.54,49.58,763.41,68.30,755.54,49.58,756.00,45.27,1,1516.5,314893.20,314907.50,314940.90,317306.50,316439.80,317306.50,319308.00
P10,Part A,oneEuro,Med → High → Low,completed,15,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,6,49.379999999999995,366.23499999999996,135,6,3.3087,1.4656,1.3074,3.3087,670.55,670.55,756.00,45.27,502.55,666.07,505.93,647.65,502.55,666.07,497.03,670.47,0,775.6,319824.80,319825.50,319825.50,321291.10,321132.90,321132.90,323134.20
P10,Part A,oneEuro,Med → High → Low,completed,16,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,7,49.379999999999995,366.23499999999996,315,7,3.2912,1.4352,1.2818,3.2912,737.34,737.34,497.03,670.47,1021.68,152.38,991.20,158.36,1021.68,152.38,1014.97,152.53,0,1025.9,323640.90,323657.80,323657.80,325093.00,324939.60,324939.60,326949.00
P10,Part A,oneEuro,Med → High → Low,completed,17,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,0,82.30000000000001,349.775,0,0,3.1502,1.1478,1.1478,3.1502,337.54,337.54,756.00,411.50,1093.37,400.58,1065.99,417.49,1093.37,400.58,1105.78,411.50,2,4106.9,376338.20,376778.40,376778.40,377926.20,377160.00,377926.20,379928.60
P10,Part A,oneEuro,Med → High → Low,completed,18,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,1,82.30000000000001,349.775,180,1,5.5109,3.5097,3.6042,5.6054,716.27,716.27,1105.78,411.50,390.01,384.62,365.83,407.13,390.01,384.62,406.23,411.50,3,6523.6,380437.00,380451.90,380546.40,384056.10,381218.10,384056.10,386057.30
P10,Part A,oneEuro,Med → High → Low,completed,19,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,2,82.30000000000001,349.775,45,2,3.0807,1.0696,1.0696,3.0807,671.03,671.03,406.23,411.50,1017.49,688.35,1021.99,622.30,1017.49,688.35,1003.33,658.83,0,21485.5,386573.90,386577.00,386577.00,387646.60,387646.60,387646.60,389657.70
P10,Part A,oneEuro,Med → High → Low,completed,20,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,3,82.30000000000001,349.775,225,3,3.2734,1.2627,1.2627,3.2734,678.83,678.83,1003.33,658.83,527.24,174.94,484.55,132.62,527.24,174.94,508.67,164.17,1,3282.0,390174.00,390178.20,390178.20,391440.90,390931.70,391440.90,393451.60
P10,Part A,oneEuro,Med → High → Low,completed,21,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,4,82.30000000000001,349.775,90,4,8.2087,6.3921,6.2074,8.2087,631.95,631.95,508.67,164.17,761.76,743.23,725.57,735.42,761.76,743.23,756.00,761.27,2,1032.4,393964.40,394022.90,394022.90,400415.00,395571.80,400230.30,402231.60
