GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
24,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,7,78.97500000000001,146.25,315,7,8.6945,281.66,536.59,395.91,749.64,211.68,640.00,292.50,522839.90,525082.70,533777.20
25,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,0,78.97500000000001,193.05,0,0,6.0133,230.71,640.00,292.50,870.67,296.75,833.05,292.50,544595.80,546031.20,552044.50
26,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,1,78.97500000000001,193.05,180,1,6.0929,379.20,833.05,292.50,454.32,273.64,640.00,292.50,552627.20,554245.00,560337.90
27,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,2,78.97500000000001,193.05,45,2,3.6083,384.42,446.95,292.50,797.72,449.78,583.46,429.01,560914.40,562655.20,566263.50
28,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,3,78.97500000000001,193.05,225,3,3.6447,364.59,776.51,429.01,501.08,190.13,640.00,292.50,566850.70,567708.00,571352.70
29,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,4,78.97500000000001,193.05,90,4,9.4655,330.20,503.49,155.99,624.31,463.30,503.49,349.04,571942.00,572712.30,582177.80
30,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,5,78.97500000000001,193.05,270,5,11.6679,369.67,640.00,485.55,641.38,115.89,640.00,292.50,582734.20,584131.40,595799.30
31,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,6,78.97500000000001,193.05,135,6,8.9566,330.83,640.00,99.45,514.87,405.70,503.49,235.96,596379.40,597705.90,606662.50
32,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,7,78.97500000000001,193.05,315,7,11.1671,366.25,503.49,429.01,772.47,180.43,640.00,292.50,607228.10,608692.00,619859.10
33,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,0,99.45,146.25,0,0,1.2503,153.81,640.00,292.50,793.79,295.03,786.25,292.50,629435.80,630365.60,631615.90
34,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,1,99.45,146.25,180,1,3.3697,246.93,786.25,292.50,539.67,305.67,640.00,292.50,632176.90,633087.70,636457.40
35,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,2,99.45,146.25,45,2,3.7350,294.11,493.75,292.50,754.49,428.57,597.16,395.91,637037.30,637080.60,640815.60
36,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,3,99.45,146.25,225,3,3.0915,318.13,743.41,395.91,490.05,203.52,640.00,292.50,641388.10,642266.90,645358.40
37,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,4,99.45,146.25,90,4,5.2653,256.77,536.59,189.09,668.81,409.19,536.59,335.34,645940.50,646711.70,651977.00
38,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,5,99.45,146.25,270,5,7.9617,251.30,640.00,438.75,630.68,187.62,640.00,292.50,652563.10,654181.80,662143.50
39,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,6,99.45,146.25,135,6,6.6188,244.12,640.00,146.25,540.39,369.12,536.59,249.66,662740.70,663419.90,670038.70
40,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,7,99.45,146.25,315,7,9.7735,261.62,536.59,395.91,736.96,227.71,640.00,292.50,670626.00,671236.10,681009.60
41,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,0,99.45,193.05,0,0,1.5054,177.72,640.00,292.50,817.30,304.63,833.05,292.50,693130.40,694373.40,695878.80
42,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,1,99.45,193.05,180,1,4.2470,387.77,833.05,292.50,445.54,278.50,640.00,292.50,696463.30,696613.00,700860.00
43,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,2,99.45,193.05,45,2,2.0923,361.01,446.95,292.50,770.31,453.03,583.46,429.01,701441.70,702145.00,704237.30
44,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,3,99.45,193.05,225,3,6.8505,381.31,776.51,429.01,489.14,178.36,640.00,292.50,704807.10,705635.70,712486.20
45,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,4,99.45,193.05,90,4,9.7276,349.34,503.49,155.99,671.56,462.25,503.49,349.04,713075.70,714918.50,724646.10
46,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,5,99.45,193.05,270,5,7.6874,353.13,640.00,485.55,654.09,132.70,640.00,292.50,725218.20,726693.30,734380.70
47,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,6,99.45,193.05,135,6,7.6195,373.62,640.00,99.45,489.55,441.44,503.49,235.96,734963.80,736302.40,743921.90
48,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,7,99.45,193.05,315,7,10.5431,356.86,503.49,429.01,753.34,174.19,640.00,292.50,744497.30,746143.40,756686.50
49,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,0,58.5,146.25,0,0,1.7827,152.66,640.00,292.50,792.48,285.16,786.25,292.50,789927.40,790920.60,792703.30
50,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,1,58.5,146.25,180,1,21.5037,306.37,786.25,292.50,480.01,301.58,640.00,292.50,793277.20,794211.50,815715.20
51,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,2,58.5,146.25,45,2,3.1056,284.86,493.75,292.50,748.88,419.20,597.16,395.91,816305.10,817324.50,820430.10
52,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,3,58.5,146.25,225,3,7.8404,285.93,743.41,395.91,551.86,183.63,640.00,292.50,821015.30,821414.80,829255.20
53,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,4,58.5,146.25,90,4,7.0449,264.49,536.59,189.09,621.49,439.58,536.59,335.34,829848.50,830715.50,837760.40
54,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,5,58.5,146.25,270,5,3.7350,278.59,640.00,438.75,653.69,160.50,640.00,292.50,838313.60,839585.70,843320.70
55,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,6,58.5,146.25,135,6,6.8565,252.90,640.00,146.25,555.09,384.47,536.59,249.66,843878.70,845011.20,851867.70
56,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,7,58.5,146.25,315,7,6.4967,307.70,536.59,395.91,755.72,179.92,640.00,292.50,852427.40,853451.40,859948.10
57,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,0,58.5,193.05,0,0,4.8949,191.95,640.00,292.50,831.93,295.54,833.05,292.50,867272.70,868927.50,873822.40
58,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,1,58.5,193.05,180,1,3.7340,400.50,833.05,292.50,432.88,276.44,640.00,292.50,874414.70,874838.90,878572.90
59,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,2,58.5,193.05,45,2,3.3785,362.62,446.95,292.50,771.80,453.63,583.46,429.01,879144.40,879561.10,882939.60
60,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,3,58.5,193.05,225,3,6.6942,401.17,776.51,429.01,483.81,154.66,640.00,292.50,883533.80,883574.90,890269.10
61,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,4,58.5,193.05,90,4,3.1620,369.97,503.49,155.99,638.77,500.35,503.49,349.04,890817.80,891004.60,894166.60
62,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,5,58.5,193.05,270,5,6.0240,392.77,640.00,485.55,657.57,93.17,640.00,292.50,894736.20,894776.50,900800.50
63,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,6,58.5,193.05,135,6,5.4177,379.12,640.00,99.45,490.82,447.99,503.49,235.96,901386.50,902054.50,907472.20
64,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,7,58.5,193.05,315,7,8.9102,386.18,503.49,429.01,789.30,169.29,640.00,292.50,908045.80,909106.00,918016.20
65,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,0,78.97500000000001,146.25,0,0,4.9196,154.85,640.00,292.50,794.05,308.20,786.25,292.50,928381.30,928598.40,933518.00
66,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,1,78.97500000000001,146.25,180,1,4.7734,267.21,786.25,292.50,519.28,281.29,640.00,292.50,934105.80,934151.80,938925.20
67,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,2,78.97500000000001,146.25,45,2,2.6857,265.58,493.75,292.50,740.41,390.93,597.16,395.91,939511.50,940214.30,942900.00
68,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,3,78.97500000000001,146.25,225,3,5.8674,307.39,743.41,395.91,517.84,187.10,640.00,292.50,943446.50,944238.70,950106.10
69,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,4,78.97500000000001,146.25,90,4,3.5865,247.59,536.59,189.09,622.98,421.11,536.59,335.34,950655.40,950801.20,954387.70
70,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,5,78.97500000000001,146.25,270,5,5.8058,271.41,640.00,438.75,647.30,167.44,640.00,292.50,954960.00,956436.50,962242.30
71,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,6,78.97500000000001,146.25,135,6,4.4428,297.66,640.00,146.25,531.24,423.33,536.59,249.66,962788.70,962829.40,967272.20
72,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,7,78.97500000000001,146.25,315,7,6.2389,299.27,536.59,395.91,742.81,179.04,640.00,292.50,967861.20,967907.00,974145.90
73,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,0,78.97500000000001,193.05,0,0,4.5196,204.98,640.00,292.50,843.17,265.33,833.05,292.50,982804.60,984006.40,988526.00
74,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,1,78.97500000000001,193.05,180,1,5.2412,367.04,833.05,292.50,466.42,275.06,640.00,292.50,989072.50,989881.40,995122.60
75,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,2,78.97500000000001,193.05,45,2,2.7721,349.02,446.95,292.50,774.11,414.09,583.46,429.01,995696.00,996629.20,999401.30
76,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,3,78.97500000000001,193.05,225,3,8.1052,369.53,776.51,429.01,496.24,188.17,640.00,292.50,999979.70,1000972.80,1009078.00
77,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,4,78.97500000000001,193.05,90,4,2.5243,354.19,503.49,155.99,616.30,491.74,503.49,349.04,1009637.50,1010314.10,1012838.40
78,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,5,78.97500000000001,193.05,270,5,5.8460,406.33,640.00,485.55,609.21,80.39,640.00,292.50,1013392.70,1013432.30,1019278.30
79,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,6,78.97500000000001,193.05,135,6,7.7030,333.68,640.00,99.45,528.13,413.82,503.49,235.96,1019865.20,1019908.00,1027611.00
80,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,7,78.97500000000001,193.05,315,7,6.6607,377.31,503.49,429.01,785.11,177.90,640.00,292.50,1028189.10,1029295.40,1035956.10
